94	18	34499	ENSG00000001631	ENSG00000233138	1.0
95	18	37248	ENSG00000001631	ENSG00000236472	-1.0
96	18	42221	ENSG00000001631	ENSG00000245864	1.0
97	18	47628	ENSG00000001631	ENSG00000254762	-1.0
98	19	18989	ENSG00000002016	ENSG00000200320	1.0
99	19	34499	ENSG00000002016	ENSG00000233138	1.0
100	19	37248	ENSG00000002016	ENSG00000236472	-1.0
101	19	42221	ENSG00000002016	ENSG00000245864	1.0
102	19	47628	ENSG00000002016	ENSG00000254762	-1.0
103	20	18989	ENSG00000002079	ENSG00000200320	-1.0
104	20	34499	ENSG00000002079	ENSG00000233138	-1.0
105	20	37248	ENSG00000002079	ENSG00000236472	1.0
106	20	42221	ENSG00000002079	ENSG00000245864	-1.0
107	20	47628	ENSG00000002079	ENSG00000254762	-1.0
108	21	18989	ENSG00000002330	ENSG00000200320	1.0
109	21	34499	ENSG00000002330	ENSG00000233138	1.0
110	21	37248	ENSG00000002330	ENSG00000236472	1.0
111	21	42221	ENSG00000002330	ENSG00000245864	-1.0
112	21	47628	ENSG00000002330	ENSG00000254762	1.0
113	22	18989	ENSG00000002549	ENSG00000200320	-1.0
114	22	34499	ENSG00000002549	ENSG00000233138	-1.0
115	22	37248	ENSG00000002549	ENSG00000236472	-1.0
116	22	42221	ENSG00000002549	ENSG00000245864	-1.0
117	22	47628	ENSG00000002549	ENSG00000254762	1.0
118	23	18989	ENSG00000002586	ENSG00000200320	1.0
119	23	34499	ENSG00000002586	ENSG00000233138	1.0
120	23	37248	ENSG00000002586	ENSG00000236472	1.0
121	23	42221	ENSG00000002586	ENSG00000245864	1.0
122	23	47628	ENSG00000002586	ENSG00000254762	-1.0
123	24	18989	ENSG00000002587	ENSG00000200320	1.0
124	24	34499	ENSG00000002587	ENSG00000233138	-1.0
125	24	37248	ENSG00000002587	ENSG00000236472	-1.0
126	24	42221	ENSG00000002587	ENSG00000245864	-1.0
127	24	47628	ENSG00000002587	ENSG00000254762	-1.0
128	25	16858	ENSG00000002726	ENSG00000187783	0.9010900201952006
129	25	18989	ENSG00000002726	ENSG00000200320	-1.0
130	25	34499	ENSG00000002726	ENSG00000233138	-1.0
131	25	37248	ENSG00000002726	ENSG00000236472	1.0
